Brief Description,Primary Cause,Hazardous Element,Initiating Mechanism,IM2,Pivotal Element 1,Pivotal Element 2,Pivotal Element 3,Activity Type,Potential Accident/Incidence,Potential Target,Potential Threat
edge of stones lying on road are disorganized and may cause hazards,Poor Road Condition,,,,,,,Other Roads,Slip/ Topple,"people, property","Property Damage, injury"
During turning of of main gate of 6 &amp; 7 Pits Colliery one biker got slipped and missed to hit a person walking there at ,Neglegent Driving,,,,,,,Main Road,Slip,"people, property","injury, Property Damage"
Due to uneven road  a bike got slipped. However he didn&#39;t loose control.,Poor Road Condition,,,,,,,Other Roads,Slip,"property, people","injury, Property Damage"
due to sandy road a bike got slipped but as he was travelling at low speeds so he didn&#39;t got any injury.,Slippary Pathway,,,,,,,Main Road,Slip,"people, property","injury, Property Damage"
"During taking turn by one biker, suddenly his bike skidded and he somehow escapped himself to fall on road",Slippary Pathway,,,,,,,Other Roads,skid/slip,"people, property","injury, Property Damage"
"While one contractor worker was coming on bicycle , he Mis balanced near workshop gate ",Poor Road Condition,,,,,,,Other Roads,skid/slip,"people, property","injury, Property Damage"
"While riding a bike, a dog suddenly entered the roadway and an employee had to stop immediately to avoid an accident",Animal Dashing,,,,,,,Main Road,Dashing with animal,"people, animal",Injury
Two vehicles were crossing each other at the turn and saved themselves from collision,Neglegent Driving,,,,,,,Other Roads,collision,"person, property","injury, Property Damage"
Overspeeding of two wheeler in a crowded space.,Slippary Pathway,,,,,,,Other Roads,Collision/hit,people,Injury
"While entering the Jamadoba Colliery through the main gate, a bike approached the gate from Washery side with excess speed and could have hit the cycle of a contractor. The bike was able to stop at the last moment. ",High Speed,,,,,,,Main Road,Collision,person,Injury
While I was going out of office at the same time one person was coming out of store gate from there parking with bycycle. Side  collision avoided by stopping the vehicle.,Poor Road Condition,,,,,,,Main Road,collision,person,Injury
"While taking material to diesel shed through ace, the vehicle tyre start slipping in loose surface in ditch created due to dozer movement in the area. two person pushed to take it out.",Poor Road Condition,,,,,,,Other Roads,,,
Heap of  coal boulders  (size around 400-600mm) developed besides the truck dump hopper which may fall onto the truck dump hopper from height and can cause injury to the workers working in the hopper cleaning job,Poor Road Condition,,,,,,,Other Roads,Fall,person,injury
Rails provided to prevent the road from getting damaged by crawler mounted vehicle movent along the road near stores gate exposed which can lead to accident and causes problem in driving vehicles in the route,Poor Road Condition,,,,,,,Main Road,,property,property damaged
Oomgen cylinder was kept on pathway which was  unsafe. ,Slip /trip /fall,,,,,,,Main Road,Slip/ fall/ Trip,"person, property","Property Damage, injury"
Employee vehicle slipped due to hastiness in turning,Poor Vehicle condition,,,,,,,Other Roads,,,
"Near Jamadoba road, suddenly one truck took turning without giving any indicator and I was nearly hit the truck. Somehow managed and escape from the incident",Neglegent Driving,,,,,,,Main Road,Collision,"Property, person","injury, Property Damage"
"While entry of sijua 2 pit loaded raw coal dumper -YYYY was striked the door leaf in bothsides of gate with front portion of dumper by natural air blowing but no injury was taken place,",Vehicle Dashing,,,,,,,Other Roads,Collision,property,property Damaged
"While contractor employee was travelled in main road by cycle and its back side wheel was skided of muddy slippery road but no injury was taken place,",Slippary Pathway,,,,,,,Main Road,Slip,person,Injury
"After finishing the mourning meeting Foreman of PTS was crossed the road ,same time petrolling sumo car was crossed beside road with blow the horn but he stopped but no injury was taken place.",Neglegent Driving,,,,,,,Other Roads,Collision,"person, property","injury, Property Damage"
"FCO was entrered at entrance of main plant from road ,one 4 wheeler crossed the road and blow the horn suddenly but no injury was taken place,",Neglegent Driving,,,,,,,Main Road,Collision,"person, property","injury, Property Damage"
"While transporting of 37 kw motor of chain drive for Radial blender with the help of three wheel manual Trolley,wheel of trolley stucked into soft road near walkway of radial blender and suddenly jerked on loaded motor and tapered form but no injury was taken place",Poor Road Condition,,,,,,,Other Roads,,,
While coming to 2nd half duty my car bearing reg. no. YYYY was about to collide with a motorcycle coming from opposite site ( blind curve) from two wheeler parking zone. There was a slight scratch and dent.,High Speed,,,,,,,Other Roads,Collision,property,Injury
Wet floor can cause slip trip fall hazard,,,,,,,,Main Road,slip,person,Injury
Due to rain parking path way became slippery &amp; there was a chance of slip. The same was informed to the concerned and the area was cleaned by applying bleaching powder &amp; rectified.,Slippary Pathway,,,,,,,Other Roads,slip,"person, property","injury, Property Damage"
About to happen head on collusion between a contractor&#39;s camper and Mining pit vehicle at 2nd blind corner of DCMP road.,Vehicle Dashing,,,,,,,Other Roads,collision,"person, property","Property Damage, injury"
Yesterday while returning back to residence from office by two wheeler our scooty got unbalance due to water accumulation on main road near MRSS. Somehow we balance our vehicle and escape from injury.,Poor Road Condition,,,,,,,Other Roads,"slip, fall","person, property","Property Damaged, injury"
While NRD hire Bolero reversing near time office to move hill top one wet plant truck which was going to store narrowly escape to hit.,Neglegent Driving,,,,,,,Other Roads,collision,"person, property","injury, property damaged"
 M/S XY company tipper  was engaged for dumping Morum material for pot hole filling job in hill top road from chief office to equipment. While raising dump body for dumping material its dump body was about to touch communication cable luckily operator see the  communication cable and lowered the dump body. ,Neglegent Driving,,,,,,,Other Roads,electrocution,"property, person","Property Damage, injury"
"Mr. Sailesh Chandra Palei, Driver of M/S XY bus was returning the bus after dropping the personnel in the mines, as he was approaching the main gate, he was asked by his supervisor to stop and wait. He tried to park the bus at the space available near the TSRDS office, and during reversing the bus for parking, the rear  left side of the bus touched the junction box installed on the street pole.",Neglegent Driving,,,,,,,Main Road,"Electrocution, hit","People, property","Property Damage, injury"
I went to check the new signaling system placed at PP Gate . when I was going upstairs to the cabin my leg slipped and my leg go inside the gap between two stairs  .Fortunately I  not fell down as I was using hand rails .,Slip /trip /fall,,,,,,,Main Road,Slip /trip /fall,person,injury
The underground water pipe line coming from the POB to Office area exposed to surface near PB gate and line trucks were passing over it. It is about to damage the pipe line but the matter observed and exposed surface filled with materials to protect the pipe line. ,Poor Road Condition,,,,,,,Other Roads,collision,property,Property Damage
"Refer to attached pics, today at about 12:50 pm while a contractor supervisor (who was come inside for collecting gate passes from gate pass section) crossing the fortification, lost his balance but somehow managed to rescue himself.",Slippary Pathway,,,,,,,Other Roads,Slip,person,Injury
"On returning to home after performing duty while moving from JCO towards the security main gate, In front of the SBI ATM near Mahanadi guest house, suddenly a dry branch of the Sal tree fell upon a motor cyclist who was riding just ahead to me. He has got no injury due to wearing of a crash helmet.",Slip /trip /fall,,,,,,,Main Road,fall,person,Injury
"(Reported by operator Adhikant karua)While operator adhikant karua after parking his motorcycle was getting out of the shed another vehicle entering the shed,his  vehicle handle slightly touched his hand ,hitting his wristwatch ",Neglegent Driving,,,,,,,Main Road,,,
(As reported by drill opeartor sharma)While starting his scooter at shiftend and applying acceleration clutch wire got broken and vehicle was out of control hitting other vehicles parked along.,Vehicle Dashing,,,,,,,Other Roads,hit/collision,"person, property","Property Damage, injury"
